n_requests,query,runtime_ms,pareto_size,route_index,served,lu_cost,distance,route,status
5,1,146292,16,0,12,34,33192.37094668585,"[Depot:193940,S4:249616,S3:184178,D4:211272,S1:212732,S2:212731,D1:248180,D2:191249,D3:183489,Depot:193940]",success
5,1,146292,16,1,12,34,33192.37094668585,"[Depot:193940,S4:249616,S3:184178,D4:211272,S2:212731,S1:212732,D1:248180,D2:191249,D3:183489,Depot:193940]",success
5,1,146292,16,2,12,38,30374.250136399663,"[Depot:193940,S4:249616,S3:184178,D4:211272,S1:212732,S2:212731,D2:191249,D1:248180,D3:183489,Depot:193940]",success
5,1,146292,16,3,12,38,30374.250136399663,"[Depot:193940,S4:249616,S3:184178,D4:211272,S2:212731,S1:212732,D2:191249,D1:248180,D3:183489,Depot:193940]",success
5,1,146292,16,4,11,26,33192.37094668585,"[Depot:193940,S4:249616,D4:211272,S1:212732,S2:212731,D1:248180,D2:191249,Depot:193940]",success
5,1,146292,16,5,11,26,33192.37094668585,"[Depot:193940,S4:249616,D4:211272,S2:212731,S1:212732,D1:248180,D2:191249,Depot:193940]",success
5,1,146292,16,6,11,30,30374.250136399663,"[Depot:193940,S4:249616,D4:211272,S2:212731,S1:212732,D2:191249,D1:248180,Depot:193940]",success
5,1,146292,16,7,11,30,30374.250136399663,"[Depot:193940,S4:249616,D4:211272,S1:212732,S2:212731,D2:191249,D1:248180,Depot:193940]",success
5,1,146292,16,8,10,24,30213.289703893788,"[Depot:193940,S4:249616,S3:184178,D4:211272,S1:212732,D1:248180,D3:183489,Depot:193940]",success
5,1,146292,16,9,9,18,30213.289703893788,"[Depot:193940,S4:249616,D4:211272,S1:212732,D1:248180,Depot:193940]",success
5,1,146292,16,10,7,14,30374.250136399663,"[Depot:193940,S4:249616,D4:211272,S2:212731,D2:191249,Depot:193940]",success
5,1,146292,16,11,6,14,22069.141962726164,"[Depot:193940,S4:249616,S3:184178,D4:211272,D3:183489,Depot:193940]",success
5,1,146292,16,12,5,10,22069.141962726164,"[Depot:193940,S4:249616,D4:211272,Depot:193940]",success
5,1,146292,16,13,4,8,30211.078346167546,"[Depot:193940,S1:212732,D1:248180,Depot:193940]",success
5,1,146292,16,14,2,4,30372.03877867342,"[Depot:193940,S2:212731,D2:191249,Depot:193940]",success
5,1,146292,16,15,1,2,12303.197178498249,"[Depot:193940,S3:184178,D3:183489,Depot:193940]",success
5,2,62204,8,0,10,30,18519.635752049075,"[Depot:48706,S2:52053,S4:62048,D4:56769,D2:71943,Depot:48706]",success
5,2,62204,8,1,8,24,18643.555203917786,"[Depot:48706,S1:52138,S2:52053,S5:56771,D2:71943,D5:52155,D1:50473,Depot:48706]",success
5,2,62204,8,2,7,18,18641.404377216022,"[Depot:48706,S2:52053,S5:56771,D2:71943,D5:52155,Depot:48706]",success
5,2,62204,8,3,6,14,10765.88215975265,"[Depot:48706,S1:52138,S2:52053,D2:71943,D1:50473,Depot:48706]",success
5,2,62204,8,4,5,10,10763.731333050884,"[Depot:48706,S2:52053,D2:71943,Depot:48706]",success
5,2,62204,8,5,3,8,18643.555203917786,"[Depot:48706,S1:52138,S5:56771,D5:52155,D1:50473,Depot:48706]",success
5,2,62204,8,6,2,4,18641.404377216026,"[Depot:48706,S5:56771,D5:52155,Depot:48706]",success
5,2,62204,8,7,1,2,7979.827821122885,"[Depot:48706,S1:52138,D1:50473,Depot:48706]",success
