D 660
C 8
S 1041,959 926,968 982,1012 5
S 755,1060 599,623 779,809 1
S 758,1036 614,642 878,904 1
S 953,949 1016,1046 1069,1091 5
S 955,950 1014,1028 1050,1082 3
S 1042,956 938,974 1004,1018 2
S 1048,1037 840,868 892,916 5
S 1071,1043 695,727 936,978 2
S 1045,952 845,887 1026,1060 3
S 1051,1038 830,854 897,921 3
S 661,1077 540,562 650,688 3
S 1063,1053 755,797 826,842 1
S 662,756 542,560 604,626 4
S 1065,954 752,786 1016,1038 3
S 664,1033 546,578 867,887 2
S 1052,1039 830,844 905,939 1
S 665,753 561,579 590,618 2
S 1070,1067 713,729 730,763 5
S 759,1066 623,651 755,769 5
S 1064,951 755,791 1046,1064 4
