D 3555
C 11
S 3487,3685 554,570 706,744 3
S 3502,3970 540,578 637,657 5
S 523,3554 726,744 1040,1058 1
S 3609,532 883,919 977,999 2
S 3499,3958 547,573 734,758 1
S 3609,3566 872,892 1060,1090 3
S 3970,3579 909,951 952,960 5
S 586,3935 733,751 761,791 1
S 3647,3969 739,781 852,892 2
S 3609,3605 798,824 887,917 3
S 3674,3580 956,972 1043,1059 5
S 3927,3937 563,591 756,800 3
S 3664,4236 658,696 1083,1119 3
S 3946,5775 574,596 707,749 4
S 532,3550 717,751 1062,1096 4
S 3581,5777 581,625 721,735 2
S 3969,586 911,951 1013,1035 1
S 3591,3594 584,602 936,974 1
S 3970,564 893,927 984,1012 1
S 3928,563 565,591 716,748 3
