step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,num_routes,total_served,total_lu_cost,total_distance,pareto_size,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step1,core_comparison,OptLoad,oldenburg,2,1,,,,167,1,4,4,11206.29,1,3,7,0,0,0,0,7,3,2,2,20,28200.20,14,success,0
step1,core_comparison,OptLoad,oldenburg,2,2,,,,65,0,0,0,0.00,0,4,0,0,0,0,0,0,0,1,0,16,22832.28,16,success,0
step1,core_comparison,OptLoad,oldenburg,2,3,,,,58,0,0,0,0.00,0,3,0,0,0,0,0,0,0,1,0,6,14066.90,6,success,0
step1,core_comparison,OptLoad,oldenburg,2,4,,,,118,0,0,0,0.00,0,3,0,0,0,0,0,0,0,1,0,8,34123.31,8,success,0
step1,core_comparison,OptLoad,oldenburg,2,5,,,,166,1,0,20,18355.88,1,2,9,2,0,0,2,9,2,1,1,30,17704.03,20,success,0
step1,core_comparison,OptLoad,oldenburg,2,6,,,,160,1,6,13,14407.59,1,3,7,0,0,0,0,7,3,2,2,22,18933.30,12,success,0
step1,core_comparison,OptLoad,oldenburg,2,7,,,,91,1,0,14,15732.40,1,2,8,2,0,0,2,8,2,1,1,18,18302.86,14,success,0
step1,core_comparison,OptLoad,oldenburg,2,8,,,,98,0,0,0,0.00,0,3,4,0,0,0,0,4,2,0,0,20,14950.63,12,success,0
step1,core_comparison,OptLoad,oldenburg,2,9,,,,122,1,0,20,16853.56,1,2,10,1,0,0,1,10,2,1,1,22,18383.95,14,success,0
step1,core_comparison,OptLoad,oldenburg,2,10,,,,80,0,0,0,0.00,0,3,0,0,0,0,0,0,0,1,0,12,24590.00,12,success,0
step1,core_comparison,Exact,oldenburg,2,1,,,,172,2,7,14,41594.71,2,,,,,,,,,,,,,,success,0
step1,core_comparison,Exact,oldenburg,2,2,,,,162,1,5,10,15655.90,1,,,,,,,,,,,,,,success,0
step1,core_comparison,Exact,oldenburg,2,3,,,,67,1,1,2,10540.87,1,,,,,,,,,,,,,,success,0
step1,core_comparison,Exact,oldenburg,2,4,,,,176,1,3,6,22007.33,1,,,,,,,,,,,,,,success,0
step1,core_comparison,Exact,oldenburg,2,5,,,,119,2,15,30,27041.27,2,,,,,,,,,,,,,,success,0
step1,core_comparison,Exact,oldenburg,2,6,,,,137,2,6,12,18100.97,2,,,,,,,,,,,,,,success,0
step1,core_comparison,Exact,oldenburg,2,7,,,,137,1,5,10,13469.92,1,,,,,,,,,,,,,,success,0
step1,core_comparison,Exact,oldenburg,2,8,,,,95,2,6,12,16875.30,2,,,,,,,,,,,,,,success,0
step1,core_comparison,Exact,oldenburg,2,9,,,,115,3,14,36,38253.10,3,,,,,,,,,,,,,,success,0
step1,core_comparison,Exact,oldenburg,2,10,,,,153,1,5,10,13197.43,1,,,,,,,,,,,,,,success,0
step1,core_comparison,Insertion,oldenburg,2,1,,,,120,1,4,8,19207.84,1,,,,,,,,,,,,,,success,0
step1,core_comparison,Insertion,oldenburg,2,2,,,,151,1,5,10,15655.90,1,,,,,,,,,,,,,,success,0
step1,core_comparison,Insertion,oldenburg,2,3,,,,66,1,1,2,10540.87,1,,,,,,,,,,,,,,success,0
step1,core_comparison,Insertion,oldenburg,2,4,,,,167,1,3,6,22007.33,1,,,,,,,,,,,,,,success,0
step1,core_comparison,Insertion,oldenburg,2,5,,,,100,1,10,20,18355.88,1,,,,,,,,,,,,,,success,0
step1,core_comparison,Insertion,oldenburg,2,6,,,,119,1,5,10,6882.43,1,,,,,,,,,,,,,,success,0
