step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,pareto_size,route_index,served,lu_cost,distance,route,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step2,scalability_requests,Insertion,london,10,1,,,,5902,1,1,19,78,30378.67,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,2,,,,2134,1,1,14,52,16308.78,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,3,,,,1357,1,1,13,60,23234.06,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,4,,,,2124,1,1,8,44,41963.45,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,5,,,,6808,1,1,13,70,29790.13,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,6,,,,923,1,1,14,72,19904.27,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,7,,,,6755,1,1,22,162,30872.22,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,8,,,,9289,1,1,8,40,39718.86,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,9,,,,1455,1,1,17,60,15296.62,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,10,,,,4190,1,1,16,72,15152.38,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,1,,,,657,1,1,12,47,35339.93,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,2,,,,248,1,1,14,52,14735.86,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,3,,,,266,1,1,16,80,26068.92,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,4,,,,382,1,1,8,44,41963.45,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,5,,,,631,1,1,4,13,26340.53,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,6,,,,158,1,1,12,61,15879.68,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,7,,,,306,1,1,8,20,7869.81,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,8,,,,1022,1,1,8,27,10743.25,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,9,,,,192,1,1,15,44,11225.07,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,10,,,,478,1,1,16,60,12439.37,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,20,1,,,,3742,1,1,15,64,22076.54,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,20,2,,,,5972,1,1,8,40,18805.36,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,20,3,,,,1098,1,1,12,84,14139.16,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,20,4,,,,4049,1,1,15,76,14240.86,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,20,5,,,,2727,1,1,10,76,13056.21,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,20,6,,,,17826,1,1,22,94,39262.14,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,20,7,,,,16455,1,1,17,106,20520.62,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,20,8,,,,15820,1,1,13,60,22312.31,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,20,9,,,,11543,1,1,20,154,11775.10,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,20,10,,,,12134,1,1,9,42,30585.57,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,1,,,,192,1,1,2,4,2222.23,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,2,,,,806,1,1,7,26,19063.68,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,3,,,,200,1,1,10,32,12603.54,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,4,,,,348,1,1,11,38,9395.89,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,5,,,,345,1,1,13,45,5862.29,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,6,,,,943,1,1,3,8,579.67,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,7,,,,805,1,1,8,21,5770.19,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,8,,,,1952,1,1,14,72,22199.54,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,9,,,,746,1,1,15,88,11518.10,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,10,,,,907,1,1,5,12,1905.24,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,1,,,,43752,1,1,18,106,40623.51,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,2,,,,7889,1,1,22,156,15202.21,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,3,,,,19747,1,1,12,54,30101.11,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,4,,,,17316,1,1,12,58,22134.71,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,5,,,,3096,1,1,15,96,12485.24,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,6,,,,36903,1,1,13,108,23192.01,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,7,,,,38929,1,1,16,102,19296.31,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,8,,,,21981,1,1,24,150,19858.89,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,9,,,,6365,1,1,24,200,18205.79,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,10,,,,70825,1,1,15,84,30294.65,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,1,,,,5864,1,1,14,103,29181.12,,,,,,,,,,,,,,,success,0
