step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,num_routes,total_served,total_lu_cost,total_distance,pareto_size,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step2,scalability_requests,OptLoad,london,10,1,,,,2239,7,159,354,212672.28,7,6,46,0,0,0,0,46,18,144,144,298,96299.86,68,success,0
step2,scalability_requests,OptLoad,london,10,2,,,,15172,21,282,1129,372420.97,21,7,382,0,0,0,0,382,31,3888,3888,342,52561.41,66,success,0
step2,scalability_requests,OptLoad,london,10,3,,,,9302,21,507,2501,497348.60,21,6,82,0,0,0,0,82,30,6480,6480,370,55089.51,64,success,0
step2,scalability_requests,OptLoad,london,10,4,,,,2485,11,162,658,424882.68,11,6,45,0,0,0,0,45,18,144,144,314,80107.11,60,success,0
step2,scalability_requests,OptLoad,london,10,5,,,,7232,13,293,1118,320360.42,13,6,60,0,0,0,0,60,23,864,864,376,53264.90,62,success,0
step2,scalability_requests,OptLoad,london,10,6,,,,4882,16,303,1784,306561.12,16,9,83,0,0,0,0,83,28,4608,4608,330,40556.67,60,success,0
step2,scalability_requests,OptLoad,london,10,7,,,,135758,41,936,5502,1152729.26,41,6,441,0,0,0,0,441,97,100000,100000,250,43970.67,54,success,0
step2,scalability_requests,OptLoad,london,10,8,,,,12513,21,393,1923,728903.44,21,7,73,0,0,0,0,73,28,2592,2592,298,78275.36,56,success,0
step2,scalability_requests,OptLoad,london,10,9,,,,17148,17,317,1416,253578.85,17,8,366,0,0,0,0,366,124,10368,10368,362,32400.18,68,success,0
step2,scalability_requests,OptLoad,london,10,10,,,,4482,3,39,144,43014.90,3,5,77,0,0,0,0,77,18,48,48,460,43414.08,74,success,0
step2,scalability_requests,Insertion,london,10,1,,,,5902,1,19,78,30378.67,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,2,,,,2134,1,14,52,16308.78,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,3,,,,1357,1,13,60,23234.06,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,4,,,,2124,1,8,44,41963.45,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,5,,,,6808,1,13,70,29790.13,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,6,,,,923,1,14,72,19904.27,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,7,,,,6755,1,22,162,30872.22,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,8,,,,9289,1,8,40,39718.86,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,9,,,,1455,1,17,60,15296.62,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,10,10,,,,4190,1,16,72,15152.38,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,1,,,,657,1,12,47,35339.93,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,2,,,,248,1,14,52,14735.86,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,3,,,,266,1,16,80,26068.92,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,4,,,,382,1,8,44,41963.45,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,5,,,,631,1,4,13,26340.53,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,6,,,,158,1,12,61,15879.68,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,7,,,,306,1,8,20,7869.81,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,8,,,,1022,1,8,27,10743.25,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,9,,,,192,1,15,44,11225.07,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,10,10,,,,478,1,16,60,12439.37,1,,,,,,,,,,,,,,success,0
