step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,num_routes,total_served,total_lu_cost,total_distance,pareto_size,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step3,network_scalability,OptLoad,oldenburg,20,1,,,,10565,5,43,100,80320.15,5,17,82,0,0,0,0,82,32,1920,1920,590,212024.72,126,success,0
step3,network_scalability,OptLoad,oldenburg,20,2,,,,6528,17,350,1203,538974.43,17,17,70,0,0,0,0,70,29,1280,1280,814,211516.43,142,success,0
step3,network_scalability,OptLoad,oldenburg,20,3,,,,71457,6,63,157,119517.30,6,17,108,0,0,0,0,108,37,13824,13824,854,187384.33,120,success,0
step3,network_scalability,OptLoad,oldenburg,20,4,,,,184029,13,222,897,308117.67,13,18,119,0,0,0,0,119,43,55296,55296,558,178284.30,96,success,0
step3,network_scalability,OptLoad,oldenburg,20,5,,,,4051,3,46,170,82196.27,3,18,80,0,0,0,0,80,29,512,512,720,205366.23,116,success,0
step3,network_scalability,OptLoad,oldenburg,20,6,,,,21817,4,62,260,115738.70,4,19,98,0,0,0,0,98,35,4608,4608,812,164730.30,120,success,0
step3,network_scalability,OptLoad,oldenburg,20,7,,,,1380,3,43,184,89621.29,3,19,55,0,0,0,0,55,24,32,32,658,194554.12,102,success,0
step3,network_scalability,OptLoad,oldenburg,20,8,,,,42866,8,143,538,303206.32,8,19,98,0,0,0,0,98,37,7680,7680,802,191513.15,120,success,0
step3,network_scalability,OptLoad,oldenburg,20,9,,,,1901,5,69,216,141542.41,5,17,59,0,0,0,0,59,23,64,64,700,181763.04,128,success,0
step3,network_scalability,OptLoad,oldenburg,20,10,,,,4454,2,45,152,76020.71,2,18,80,0,0,0,0,80,28,768,768,710,231746.40,130,success,0
step3,network_scalability,Insertion,oldenburg,20,1,,,,3418,1,18,70,38502.80,1,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,2,,,,3237,1,18,76,40267.16,1,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,3,,,,3666,1,9,48,42501.76,1,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,4,,,,3837,1,16,88,35521.86,1,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,5,,,,4185,1,11,52,36780.63,1,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,6,,,,4605,1,16,74,48891.55,1,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,7,,,,2690,1,10,40,36169.72,1,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,8,,,,4822,1,15,50,46149.87,1,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,9,,,,1970,1,17,54,36850.66,1,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,10,,,,1566,1,8,24,32937.72,1,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,1,,,,251,1,4,9,5566.34,1,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,2,,,,405,1,9,27,9962.67,1,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,3,,,,340,1,6,16,9185.25,1,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,4,,,,423,1,7,36,16543.79,1,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,5,,,,384,1,7,18,15294.72,1,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,6,,,,382,1,9,25,16218.80,1,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,7,,,,510,1,11,32,21922.65,1,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,8,,,,372,1,9,18,15845.39,1,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,9,,,,264,1,5,13,13272.76,1,,,,,,,,,,,,,,success,0
