step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,num_routes,total_served,total_lu_cost,total_distance,pareto_size,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step4,ablation,OptLoad,london,20,1,,,,97829,41,1370,7599,863635.69,41,9,143,0,0,0,0,143,54,100000,100000,1040,87805.55,114,success,0
step4,ablation,OptLoad,london,20,2,,,,4075,8,246,1614,225492.31,8,9,101,0,0,0,0,101,39,576,576,1316,125971.26,134,success,0
step4,ablation,OptLoad,london,20,3,,,,96839,8,278,2356,125283.03,8,14,462,0,0,0,0,462,154,100000,100000,1358,51216.28,130,success,0
step4,ablation,OptLoad,london,20,4,,,,148610,39,894,4338,675084.00,39,11,156,0,0,0,0,156,47,100000,100000,1338,76768.64,138,success,0
step4,ablation,OptLoad,london,20,5,,,,208367,9,176,1112,133568.53,9,13,421,0,0,0,0,421,155,100000,100000,1064,52270.75,102,success,0
step4,ablation,OptLoad,london,20,6,,,,327453,50,1665,9994,1845857.20,50,9,13745,0,0,0,0,13745,2074,100000,100000,1026,197805.10,116,success,0
step4,ablation,OptLoad,london,20,7,,,,22912,24,713,4741,546500.69,24,9,78,0,0,0,0,78,29,11520,11520,1310,92730.15,140,success,0
step4,ablation,OptLoad,london,20,8,,,,415265,38,1055,6075,1096673.43,38,11,149,0,0,0,0,149,45,100000,100000,1196,112543.37,118,success,0
step4,ablation,OptLoad,london,20,9,,,,435029,30,566,2657,312788.82,30,13,457,0,0,0,0,457,89,100000,100000,1106,42029.59,108,success,0
step4,ablation,OptLoad,london,20,10,,,,120347,19,376,1928,516625.45,19,8,141,0,0,0,0,141,45,34560,34560,914,110553.45,92,success,0
step4,ablation,NoCluster,london,20,1,,,,3236,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,1040,87805.55,114,success,0
step4,ablation,NoCluster,london,20,2,,,,6010,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,1316,125971.26,134,success,0
step4,ablation,NoCluster,london,20,3,,,,857,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,1358,51216.28,130,success,0
step4,ablation,NoCluster,london,20,4,,,,2832,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,1338,76768.64,138,success,0
step4,ablation,NoCluster,london,20,5,,,,1454,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,1064,52270.75,102,success,0
step4,ablation,NoCluster,london,20,6,,,,5962,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,1026,197805.10,116,success,0
step4,ablation,NoCluster,london,20,7,,,,5999,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,1310,92730.15,140,success,0
step4,ablation,NoCluster,london,20,8,,,,9333,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,1196,112543.37,118,success,0
step4,ablation,NoCluster,london,20,9,,,,3072,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,1106,42029.59,108,success,0
step4,ablation,NoCluster,london,20,10,,,,8696,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,914,110553.45,92,success,0
step4,ablation,NoLUPruning,london,20,1,,,,109232,47,1605,9134,1004822.34,47,9,143,0,0,0,0,143,54,100000,100000,1040,87805.55,114,success,0
step4,ablation,NoLUPruning,london,20,2,,,,3785,7,212,1388,193269.78,7,9,101,0,0,0,0,101,39,576,576,1316,125971.26,134,success,0
step4,ablation,NoLUPruning,london,20,3,,,,109394,8,278,2356,125283.03,8,14,462,0,0,0,0,462,154,100000,100000,1358,51216.28,130,success,0
step4,ablation,NoLUPruning,london,20,4,,,,162064,49,1220,6560,855988.77,49,11,156,0,0,0,0,156,47,100000,100000,1338,76768.64,138,success,0
step4,ablation,NoLUPruning,london,20,5,,,,201559,9,176,1112,133568.53,9,13,421,0,0,0,0,421,155,100000,100000,1064,52270.75,102,success,0
step4,ablation,NoLUPruning,london,20,6,,,,333312,39,1247,7206,1403393.52,39,9,13745,0,0,0,0,13745,2074,100000,100000,1026,197805.10,116,success,0
step4,ablation,NoLUPruning,london,20,7,,,,24679,20,559,3400,439370.49,20,9,78,0,0,0,0,78,29,11520,11520,1310,92730.15,140,success,0
step4,ablation,NoLUPruning,london,20,8,,,,424182,36,1014,5905,1045060.17,36,11,149,0,0,0,0,149,45,100000,100000,1196,112543.37,118,success,0
step4,ablation,NoLUPruning,london,20,9,,,,441515,26,488,2287,268178.02,26,13,457,0,0,0,0,457,89,100000,100000,1106,42029.59,108,success,0
step4,ablation,NoLUPruning,london,20,10,,,,114235,20,397,2045,544548.76,20,8,141,0,0,0,0,141,45,34560,34560,914,110553.45,92,success,0
step4,ablation,OptLoad,london,40,1,,,,887228,11,512,3972,300693.02,11,20,242,0,0,0,0,242,92,100000,100000,4082,238927.33,222,success,0
step4,ablation,OptLoad,london,40,2,,,,218531,8,344,3544,112546.61,8,23,13982,0,0,0,0,13982,5145,100000,100000,5262,130873.89,246,success,0
step4,ablation,OptLoad,london,40,3,,,,160704,17,1132,5434,461656.58,17,19,112,0,0,0,0,112,45,82944,82944,4794,231861.21,250,success,0
step4,ablation,OptLoad,london,40,4,,,,163060,13,744,5993,305153.85,13,20,223,0,0,0,0,223,85,100000,100000,4936,201551.96,258,success,0
step4,ablation,OptLoad,london,40,5,,,,1063016,1,26,152,10257.51,1,19,109847,0,0,0,0,109847,8577,100000,100000,4556,120587.37,240,success,0
step4,ablation,OptLoad,london,40,6,,,,677835,17,594,4942,402464.29,17,19,163,0,0,0,0,163,62,100000,100000,4470,194760.62,232,success,0
step4,ablation,OptLoad,london,40,7,,,,559720,25,1480,16659,516366.76,25,18,2107,0,0,0,0,2107,408,100000,100000,5138,139362.89,254,success,0
step4,ablation,OptLoad,london,40,8,,,,250744,6,319,2528,136935.15,6,16,186,0,0,0,0,186,70,100000,100000,5390,137800.52,264,success,0
step4,ablation,OptLoad,london,40,9,,,,344894,9,199,1202,112910.99,9,26,156,0,0,0,0,156,62,100000,100000,4320,124694.11,234,success,0
step4,ablation,OptLoad,london,40,10,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step4,ablation,NoCluster,london,40,1,,,,17773,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,4082,238927.33,222,success,0
step4,ablation,NoCluster,london,40,2,,,,2357,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,5262,130873.89,246,success,0
step4,ablation,NoCluster,london,40,3,,,,19357,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,4794,231861.21,250,success,0
step4,ablation,NoCluster,london,40,4,,,,10268,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,4936,201551.96,258,success,0
step4,ablation,NoCluster,london,40,5,,,,1954,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,4556,120587.37,240,success,0
step4,ablation,NoCluster,london,40,6,,,,16587,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,4470,194760.62,232,success,0
step4,ablation,NoCluster,london,40,7,,,,8597,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,5138,139362.89,254,success,0
step4,ablation,NoCluster,london,40,8,,,,9055,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,5390,137800.52,264,success,0
step4,ablation,NoCluster,london,40,9,,,,1244,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,4320,124694.11,234,success,0
step4,ablation,NoCluster,london,40,10,,,,19698,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,4390,184606.85,242,success,0
step4,ablation,NoLUPruning,london,40,1,,,,886947,11,512,3972,300693.02,11,20,242,0,0,0,0,242,92,100000,100000,4082,238927.33,222,success,0
step4,ablation,NoLUPruning,london,40,2,,,,222046,8,344,3544,112546.61,8,23,13982,0,0,0,0,13982,5145,100000,100000,5262,130873.89,246,success,0
step4,ablation,NoLUPruning,london,40,3,,,,162490,20,1339,6582,542400.52,20,19,112,0,0,0,0,112,45,82944,82944,4794,231861.21,250,success,0
step4,ablation,NoLUPruning,london,40,4,,,,172897,13,744,5975,305153.85,13,20,223,0,0,0,0,223,85,100000,100000,4936,201551.96,258,success,0
step4,ablation,NoLUPruning,london,40,5,,,,1080826,1,26,152,10257.51,1,19,109847,0,0,0,0,109847,8577,100000,100000,4556,120587.37,240,success,0
step4,ablation,NoLUPruning,london,40,6,,,,693259,17,594,4942,402135.23,17,19,163,0,0,0,0,163,62,100000,100000,4470,194760.62,232,success,0
step4,ablation,NoLUPruning,london,40,7,,,,572156,33,1985,23254,717528.73,33,18,2107,0,0,0,0,2107,408,100000,100000,5138,139362.89,254,success,0
step4,ablation,NoLUPruning,london,40,8,,,,262392,9,474,3910,214959.44,9,16,186,0,0,0,0,186,70,100000,100000,5390,137800.52,264,success,0
step4,ablation,NoLUPruning,london,40,9,,,,358288,9,199,1202,112910.99,9,26,156,0,0,0,0,156,62,100000,100000,4320,124694.11,234,success,0
step4,ablation,NoLUPruning,london,40,10,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step4,ablation,OptLoad,london,60,1,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
