step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,num_routes,total_served,total_lu_cost,total_distance,pareto_size,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step5,search_space,OptLoad,london,10,1,,,,2367,9,214,510,273455.80,9,6,46,0,0,0,0,46,18,144,144,298,96299.86,68,success,0
step5,search_space,OptLoad,london,10,2,,,,14458,21,282,1129,372420.97,21,7,382,0,0,0,0,382,31,3888,3888,342,52561.41,66,success,0
step5,search_space,OptLoad,london,10,3,,,,9294,25,625,3373,606530.47,25,6,82,0,0,0,0,82,30,6480,6480,370,55089.51,64,success,0
step5,search_space,OptLoad,london,10,4,,,,2049,12,180,741,464129.61,12,6,45,0,0,0,0,45,18,144,144,314,80107.11,60,success,0
step5,search_space,OptLoad,london,10,5,,,,9395,13,291,1108,317721.47,13,6,60,0,0,0,0,60,23,864,864,376,53264.90,62,success,0
step5,search_space,OptLoad,london,10,6,,,,3943,17,319,1862,325552.16,17,9,83,0,0,0,0,83,28,4608,4608,330,40556.67,60,success,0
step5,search_space,OptLoad,london,10,7,,,,133355,36,824,5063,998734.18,36,6,441,0,0,0,0,441,97,100000,100000,250,43970.67,54,success,0
step5,search_space,OptLoad,london,10,8,,,,11776,18,335,1702,636207.13,18,7,73,0,0,0,0,73,28,2592,2592,298,78275.36,56,success,0
step5,search_space,OptLoad,london,10,9,,,,16486,18,336,1506,269264.77,18,8,366,0,0,0,0,366,124,10368,10368,362,32400.18,68,success,0
step5,search_space,OptLoad,london,10,10,,,,4528,3,39,144,43014.90,3,5,77,0,0,0,0,77,18,48,48,460,43414.08,74,success,0
step5,search_space,OptLoad,london,18,1,,,,254398,2,27,82,158072.48,2,16,99,0,0,0,0,99,30,960,960,642,720769.48,96,success,0
step5,search_space,OptLoad,london,18,2,,,,153432,4,62,256,592539.79,4,15,72,0,0,0,0,72,27,480,480,592,736186.96,98,success,0
step5,search_space,OptLoad,london,18,3,,,,39327,1,3,6,54455.01,1,18,56,0,0,0,0,56,24,64,64,512,750786.96,106,success,0
step5,search_space,OptLoad,london,18,4,,,,45440,2,24,80,214268.27,2,16,72,0,0,0,0,72,24,48,48,710,675542.03,110,success,0
step5,search_space,OptLoad,london,18,5,,,,34242,2,26,104,239063.65,2,14,54,0,0,0,0,54,20,48,48,586,750547.86,112,success,0
step5,search_space,OptLoad,london,18,6,,,,39226,1,17,65,120445.95,1,16,55,0,0,0,0,55,25,96,96,604,835940.15,114,success,0
step5,search_space,OptLoad,london,18,7,,,,407886,2,25,61,253011.98,2,17,69,0,0,0,0,69,29,768,768,546,647359.12,94,success,0
step5,search_space,OptLoad,london,18,8,,,,330233,4,42,76,246509.61,4,17,69,0,0,0,0,69,29,768,768,710,736690.47,112,success,0
step5,search_space,OptLoad,london,18,9,,,,33534,2,10,14,109446.28,2,18,61,0,0,0,0,61,24,48,48,458,788457.89,96,success,0
step5,search_space,OptLoad,london,18,10,,,,80532,4,59,204,530283.93,4,16,66,0,0,0,0,66,26,192,192,746,697654.70,112,success,0
step5,search_space,OptLoad,london,26,1,,,,63499,3,54,155,260825.85,3,25,68,0,0,0,0,68,32,128,128,1118,1042993.79,162,success,0
step5,search_space,OptLoad,london,26,2,,,,29266,3,26,74,269663.28,3,24,64,0,0,0,0,64,28,16,16,1214,992034.89,144,success,0
step5,search_space,OptLoad,london,26,3,,,,118304,1,18,66,84744.65,1,21,85,0,0,0,0,85,29,256,256,1224,1038094.67,170,success,0
step5,search_space,OptLoad,london,26,4,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,26,5,,,,555360,1,5,9,36490.01,1,24,91,0,0,0,0,91,35,1024,1024,1378,957032.59,182,success,0
step5,search_space,OptLoad,london,26,6,,,,139322,1,16,38,132186.14,1,23,103,0,0,0,0,103,32,256,256,1136,1125783.24,158,success,0
step5,search_space,OptLoad,london,26,7,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,26,8,,,,109386,2,30,104,200983.62,2,20,94,0,0,0,0,94,29,192,192,1012,997382.64,168,success,0
step5,search_space,OptLoad,london,26,9,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,26,10,,,,430019,2,28,90,163189.06,2,25,90,0,0,0,0,90,37,768,768,992,966203.07,144,success,0
step5,search_space,OptLoad,london,34,1,,,,453010,4,55,151,286566.10,4,30,100,0,0,0,0,100,42,768,768,1826,1347221.39,194,success,0
step5,search_space,OptLoad,london,34,2,,,,724551,5,59,146,483240.46,5,26,88,0,0,0,0,88,38,1280,1280,1986,1475633.23,188,success,0
step5,search_space,OptLoad,london,34,3,,,,184671,1,12,31,63476.42,1,33,99,0,0,0,0,99,41,256,256,1892,1504510.74,190,success,0
step5,search_space,OptLoad,london,34,4,,,,1082882,4,40,106,279985.09,4,30,113,0,0,0,0,113,46,1920,1920,2360,1315986.56,222,success,0
step5,search_space,OptLoad,london,34,5,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,34,6,,,,249946,8,106,272,657383.10,8,28,81,0,0,0,0,81,37,512,512,2322,1332595.45,230,success,0
step5,search_space,OptLoad,london,34,7,,,,651554,4,40,100,335615.41,4,27,109,0,0,0,0,109,42,1440,1440,1702,1135572.98,202,success,0
step5,search_space,OptLoad,london,34,8,,,,526146,2,35,86,127985.85,2,27,116,0,0,0,0,116,41,960,960,2048,1304908.39,208,success,0
step5,search_space,OptLoad,london,34,9,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,34,10,,,,1139647,1,10,20,67473.02,1,30,119,0,0,0,0,119,45,1920,1920,1908,1268014.60,200,success,0
step5,search_space,OptLoad,london,42,1,,,,737009,5,68,213,425748.48,5,35,108,0,0,0,0,108,46,1024,1024,2854,1949680.27,290,success,0
step5,search_space,OptLoad,london,42,2,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,42,3,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,42,4,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,42,5,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,42,6,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,42,7,,,,149147,2,20,41,125568.40,2,33,90,0,0,0,0,90,41,256,256,2594,1692473.98,242,success,0
step5,search_space,OptLoad,london,42,8,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,42,9,,,,773076,2,9,18,55786.86,2,37,110,0,0,0,0,110,47,1024,1024,3058,1912511.89,230,success,0
step5,search_space,OptLoad,london,42,10,,,,222351,2,31,50,106610.85,2,35,99,0,0,0,0,99,43,256,256,2654,1811932.58,256,success,0
step5,search_space,OptLoad,london,50,1,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,50,2,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,50,3,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,50,4,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,50,5,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,50,6,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,50,7,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,50,8,,,,122464,2,40,113,228079.91,2,36,118,0,0,0,0,118,43,128,128,3908,1906833.49,292,success,0
step5,search_space,OptLoad,london,50,9,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,50,10,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,58,1,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,58,2,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,58,3,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,58,4,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,58,5,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,58,6,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,58,7,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,58,8,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,58,9,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,58,10,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,66,1,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,66,2,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,66,3,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,66,4,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,66,5,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,66,6,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,66,7,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,66,8,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,66,9,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,66,10,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,74,1,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,74,2,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step5,search_space,OptLoad,london,74,3,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
