step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,num_routes,total_served,total_lu_cost,total_distance,pareto_size,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step6,parallel_performance,OptLoad,london,60,1,,,1,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,2,,,1,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,3,,,1,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,4,,,1,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,5,,,1,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,6,,,1,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,7,,,1,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,8,,,1,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,9,,,1,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,10,,,1,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,1,,,2,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,2,,,2,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,3,,,2,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,4,,,2,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,5,,,2,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,6,,,2,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step6,parallel_performance,OptLoad,london,60,7,,,2,1244,4,40,40,1628.81,4,17,16,0,0,0,0,16,6,6,6,11900,314555.31,370,success,0
step6,parallel_performance,OptLoad,london,60,8,,,2,1797,2,14,14,2353.63,2,16,5,0,0,0,0,5,2,2,2,9992,406364.98,366,success,0
step6,parallel_performance,OptLoad,london,60,9,,,2,1402,1,0,7,784.75,1,20,4,0,0,0,0,4,2,1,1,11006,306165.08,402,success,0
step6,parallel_performance,OptLoad,london,60,10,,,2,1194,2,20,20,15598.87,2,22,5,0,0,0,0,5,2,2,2,10286,351004.88,354,success,0
step6,parallel_performance,OptLoad,london,60,1,,,4,584,1,0,9,6182.63,1,22,4,0,0,0,0,4,2,1,1,8648,407510.25,354,success,0
step6,parallel_performance,OptLoad,london,60,2,,,4,634,2,16,16,5265.51,2,28,5,0,0,0,0,5,2,2,2,8488,504431.04,312,success,0
step6,parallel_performance,OptLoad,london,60,3,,,4,4947,3,30,30,1992.56,3,26,65,0,0,0,0,65,24,24,24,10406,409079.58,344,success,0
step6,parallel_performance,OptLoad,london,60,4,,,4,574,1,10,10,6515.90,1,32,7,0,0,0,0,7,3,2,2,9782,241116.00,382,success,0
step6,parallel_performance,OptLoad,london,60,5,,,4,1920,2,26,52,12900.49,2,15,11,0,0,0,0,11,5,2,2,10800,365089.80,384,success,0
step6,parallel_performance,OptLoad,london,60,6,,,4,762,1,0,9,4346.29,1,17,4,0,0,0,0,4,2,1,1,11094,270443.24,366,success,0
step6,parallel_performance,OptLoad,london,60,7,,,4,1016,4,40,40,1628.81,4,17,16,0,0,0,0,16,6,6,6,11900,314555.31,370,success,0
step6,parallel_performance,OptLoad,london,60,8,,,4,1810,2,14,14,2353.63,2,16,5,0,0,0,0,5,2,2,2,9992,406364.98,366,success,0
step6,parallel_performance,OptLoad,london,60,9,,,4,1422,1,0,7,784.75,1,20,4,0,0,0,0,4,2,1,1,11006,306165.08,402,success,0
step6,parallel_performance,OptLoad,london,60,10,,,4,1199,2,20,20,15598.87,2,22,5,0,0,0,0,5,2,2,2,10286,351004.88,354,success,0
step6,parallel_performance,OptLoad,london,60,1,,,8,676,1,0,9,6182.63,1,22,4,0,0,0,0,4,2,1,1,8648,407510.25,354,success,0
step6,parallel_performance,OptLoad,london,60,2,,,8,732,2,16,16,5265.51,2,28,5,0,0,0,0,5,2,2,2,8488,504431.04,312,success,0
step6,parallel_performance,OptLoad,london,60,3,,,8,4895,3,30,30,1992.56,3,26,65,0,0,0,0,65,24,24,24,10406,409079.58,344,success,0
step6,parallel_performance,OptLoad,london,60,4,,,8,621,1,10,10,6515.90,1,32,7,0,0,0,0,7,3,2,2,9782,241116.00,382,success,0
step6,parallel_performance,OptLoad,london,60,5,,,8,2116,2,26,52,12900.49,2,15,11,0,0,0,0,11,5,2,2,10800,365089.80,384,success,0
step6,parallel_performance,OptLoad,london,60,6,,,8,851,1,0,9,4346.29,1,17,4,0,0,0,0,4,2,1,1,11094,270443.24,366,success,0
step6,parallel_performance,OptLoad,london,60,7,,,8,1037,4,40,40,1628.81,4,17,16,0,0,0,0,16,6,6,6,11900,314555.31,370,success,0
step6,parallel_performance,OptLoad,london,60,8,,,8,2258,2,14,14,2353.63,2,16,5,0,0,0,0,5,2,2,2,9992,406364.98,366,success,0
step6,parallel_performance,OptLoad,london,60,9,,,8,1600,1,0,7,784.75,1,20,4,0,0,0,0,4,2,1,1,11006,306165.08,402,success,0
step6,parallel_performance,OptLoad,london,60,10,,,8,1248,2,20,20,15598.87,2,22,5,0,0,0,0,5,2,2,2,10286,351004.88,354,success,0
step6,parallel_performance,OptLoad,london,60,1,,,16,707,1,0,9,6182.63,1,22,4,0,0,0,0,4,2,1,1,8648,407510.25,354,success,0
step6,parallel_performance,OptLoad,london,60,2,,,16,685,2,16,16,5265.51,2,28,5,0,0,0,0,5,2,2,2,8488,504431.04,312,success,0
step6,parallel_performance,OptLoad,london,60,3,,,16,4756,3,30,30,1992.56,3,26,65,0,0,0,0,65,24,24,24,10406,409079.58,344,success,0
step6,parallel_performance,OptLoad,london,60,4,,,16,555,1,10,10,6515.90,1,32,7,0,0,0,0,7,3,2,2,9782,241116.00,382,success,0
step6,parallel_performance,OptLoad,london,60,5,,,16,2250,2,26,52,12900.49,2,15,11,0,0,0,0,11,5,2,2,10800,365089.80,384,success,0
step6,parallel_performance,OptLoad,london,60,6,,,16,891,1,0,9,4346.29,1,17,4,0,0,0,0,4,2,1,1,11094,270443.24,366,success,0
step6,parallel_performance,OptLoad,london,60,7,,,16,1071,4,40,40,1628.81,4,17,16,0,0,0,0,16,6,6,6,11900,314555.31,370,success,0
step6,parallel_performance,OptLoad,london,60,8,,,16,1765,2,14,14,2353.63,2,16,5,0,0,0,0,5,2,2,2,9992,406364.98,366,success,0
step6,parallel_performance,OptLoad,london,60,9,,,16,1495,1,0,7,784.75,1,20,4,0,0,0,0,4,2,1,1,11006,306165.08,402,success,0
step6,parallel_performance,OptLoad,london,60,10,,,16,1483,2,20,20,15598.87,2,22,5,0,0,0,0,5,2,2,2,10286,351004.88,354,success,0
step6,parallel_performance,OptLoad,london,60,1,,,24,619,1,0,9,6182.63,1,22,4,0,0,0,0,4,2,1,1,8648,407510.25,354,success,0
step6,parallel_performance,OptLoad,london,60,2,,,24,695,2,16,16,5265.51,2,28,5,0,0,0,0,5,2,2,2,8488,504431.04,312,success,0
step6,parallel_performance,OptLoad,london,60,3,,,24,5072,3,30,30,1992.56,3,26,65,0,0,0,0,65,24,24,24,10406,409079.58,344,success,0
step6,parallel_performance,OptLoad,london,60,4,,,24,580,1,10,10,6515.90,1,32,7,0,0,0,0,7,3,2,2,9782,241116.00,382,success,0
step6,parallel_performance,OptLoad,london,60,5,,,24,1902,2,26,52,12900.49,2,15,11,0,0,0,0,11,5,2,2,10800,365089.80,384,success,0
step6,parallel_performance,OptLoad,london,60,6,,,24,735,1,0,9,4346.29,1,17,4,0,0,0,0,4,2,1,1,11094,270443.24,366,success,0
step6,parallel_performance,OptLoad,london,60,7,,,24,1085,4,40,40,1628.81,4,17,16,0,0,0,0,16,6,6,6,11900,314555.31,370,success,0
step6,parallel_performance,OptLoad,london,60,8,,,24,1914,2,14,14,2353.63,2,16,5,0,0,0,0,5,2,2,2,9992,406364.98,366,success,0
step6,parallel_performance,OptLoad,london,60,9,,,24,1353,1,0,7,784.75,1,20,4,0,0,0,0,4,2,1,1,11006,306165.08,402,success,0
step6,parallel_performance,OptLoad,london,60,10,,,24,1161,2,20,20,15598.87,2,22,5,0,0,0,0,5,2,2,2,10286,351004.88,354,success,0
