step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,num_routes,total_served,total_lu_cost,total_distance,pareto_size,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step7,sensitivity_capacity,OptLoad,london,20,1,6,,,12481,0,0,0,0.00,0,19,6,0,0,0,0,6,3,0,0,772,825392.54,106,success,0
step7,sensitivity_capacity,OptLoad,london,20,2,6,,,16682,0,0,0,0.00,0,17,21,1,1,0,0,22,10,0,0,520,871748.78,104,success,0
step7,sensitivity_capacity,OptLoad,london,20,3,6,,,9480,1,0,8,71230.04,1,21,9,0,0,0,0,9,5,1,1,620,798590.79,98,success,0
step7,sensitivity_capacity,OptLoad,london,20,4,6,,,8953,0,0,0,0.00,0,17,11,0,0,0,0,11,5,0,0,666,712312.29,118,success,0
step7,sensitivity_capacity,OptLoad,london,20,5,6,,,10318,0,0,0,0.00,0,16,10,0,0,0,0,10,6,0,0,724,720225.56,108,success,0
step7,sensitivity_capacity,OptLoad,london,20,6,6,,,13364,1,0,6,78182.58,1,17,4,0,0,0,0,4,2,1,1,716,903885.97,114,success,0
step7,sensitivity_capacity,OptLoad,london,20,7,6,,,14317,0,0,0,0.00,0,17,6,0,0,0,0,6,3,0,0,830,886440.38,116,success,0
step7,sensitivity_capacity,OptLoad,london,20,8,6,,,11423,0,0,0,0.00,0,16,8,0,0,0,0,8,4,0,0,772,825007.78,124,success,0
step7,sensitivity_capacity,OptLoad,london,20,9,6,,,10154,0,0,0,0.00,0,17,10,0,0,0,0,10,6,0,0,582,714927.65,100,success,0
step7,sensitivity_capacity,OptLoad,london,20,10,6,,,9951,0,0,0,0.00,0,17,11,0,0,0,0,11,5,0,0,674,952462.32,120,success,0
step7,sensitivity_capacity,OptLoad,london,20,1,8,,,15051,0,0,0,0.00,0,16,12,0,0,0,0,12,6,0,0,796,900871.26,122,success,0
step7,sensitivity_capacity,OptLoad,london,20,2,8,,,20774,0,0,0,0.00,0,18,34,0,0,0,0,34,18,0,0,454,810700.06,90,success,0
step7,sensitivity_capacity,OptLoad,london,20,3,8,,,12739,0,0,0,0.00,0,16,13,0,0,0,0,13,7,0,0,788,800967.92,134,success,0
step7,sensitivity_capacity,OptLoad,london,20,4,8,,,11636,0,0,0,0.00,0,17,14,0,0,0,0,14,5,0,0,864,800275.87,122,success,0
step7,sensitivity_capacity,OptLoad,london,20,5,8,,,8463,0,0,0,0.00,0,19,18,0,0,0,0,18,9,0,0,740,746179.37,132,success,0
step7,sensitivity_capacity,OptLoad,london,20,6,8,,,13883,0,0,0,0.00,0,17,10,0,0,0,0,10,5,0,0,1002,808632.74,150,success,0
step7,sensitivity_capacity,OptLoad,london,20,7,8,,,9018,0,0,0,0.00,0,22,18,0,0,0,0,18,9,0,0,722,776236.72,142,success,0
step7,sensitivity_capacity,OptLoad,london,20,8,8,,,12238,0,0,0,0.00,0,17,10,0,0,0,0,10,4,0,0,692,804982.10,122,success,0
step7,sensitivity_capacity,OptLoad,london,20,9,8,,,11807,0,0,0,0.00,0,17,7,0,0,0,0,7,4,0,0,818,892584.08,116,success,0
step7,sensitivity_capacity,OptLoad,london,20,10,8,,,15524,1,0,4,8052.36,1,20,12,0,0,0,0,12,5,1,1,788,804373.25,128,success,0
step7,sensitivity_capacity,OptLoad,london,20,1,10,,,17579,2,12,12,104262.27,2,17,8,0,0,0,0,8,4,2,2,766,832254.09,128,success,0
step7,sensitivity_capacity,OptLoad,london,20,2,10,,,15174,0,0,0,0.00,0,17,13,0,0,0,0,13,5,0,0,786,871060.01,122,success,0
step7,sensitivity_capacity,OptLoad,london,20,3,10,,,11814,0,0,0,0.00,0,19,17,1,1,0,0,18,8,0,0,742,810634.07,124,success,0
step7,sensitivity_capacity,OptLoad,london,20,4,10,,,9791,0,0,0,0.00,0,19,20,0,0,0,0,20,10,0,0,824,719616.10,136,success,0
step7,sensitivity_capacity,OptLoad,london,20,5,10,,,10243,0,0,0,0.00,0,18,21,0,0,0,0,21,10,0,0,706,837330.42,118,success,0
step7,sensitivity_capacity,OptLoad,london,20,6,10,,,15426,0,0,0,0.00,0,16,20,0,0,0,0,20,6,0,0,704,734777.08,116,success,0
step7,sensitivity_capacity,OptLoad,london,20,7,10,,,13650,0,0,0,0.00,0,18,19,0,0,0,0,19,10,0,0,850,893147.07,132,success,0
step7,sensitivity_capacity,OptLoad,london,20,8,10,,,8562,0,0,0,0.00,0,21,26,1,1,0,0,27,12,0,0,778,706594.34,128,success,0
step7,sensitivity_capacity,OptLoad,london,20,9,10,,,11352,0,0,0,0.00,0,17,22,0,0,0,0,22,11,0,0,720,717043.44,112,success,0
step7,sensitivity_capacity,OptLoad,london,20,10,10,,,7477,0,0,0,0.00,0,21,24,0,0,0,0,24,11,0,0,632,854642.33,104,success,0
step7,sensitivity_capacity,OptLoad,london,20,1,12,,,14603,0,0,0,0.00,0,18,21,0,0,0,0,21,9,0,0,854,829192.01,112,success,0
step7,sensitivity_capacity,OptLoad,london,20,2,12,,,14037,0,0,0,0.00,0,19,12,0,0,0,0,12,4,0,0,850,780139.83,112,success,0
step7,sensitivity_capacity,OptLoad,london,20,3,12,,,13693,0,0,0,0.00,0,17,28,2,2,0,0,30,12,0,0,886,813338.23,142,success,0
step7,sensitivity_capacity,OptLoad,london,20,4,12,,,12920,0,0,0,0.00,0,18,30,0,0,0,0,30,15,0,0,890,902741.45,132,success,0
step7,sensitivity_capacity,OptLoad,london,20,5,12,,,20331,4,24,48,304918.53,4,18,34,2,2,0,0,36,14,4,4,736,910098.81,126,success,0
step7,sensitivity_capacity,OptLoad,london,20,6,12,,,15238,0,0,0,0.00,0,16,12,0,0,0,0,12,7,0,0,726,856178.18,108,success,0
step7,sensitivity_capacity,OptLoad,london,20,7,12,,,12388,1,0,8,67178.67,1,16,13,0,0,0,0,13,7,1,1,814,803182.94,130,success,0
step7,sensitivity_capacity,OptLoad,london,20,8,12,,,11054,0,0,0,0.00,0,18,11,0,0,0,0,11,5,0,0,764,652725.79,118,success,0
step7,sensitivity_capacity,OptLoad,london,20,9,12,,,17402,0,0,0,0.00,0,19,23,0,0,0,0,23,11,0,0,766,833350.81,120,success,0
step7,sensitivity_capacity,OptLoad,london,20,10,12,,,14192,0,0,0,0.00,0,19,49,0,0,0,0,49,21,0,0,630,699517.60,104,success,0
step7,sensitivity_timewindow,OptLoad,london,20,1,,30,,14562,0,0,0,0.00,0,16,12,0,0,0,0,12,6,0,0,710,742924.92,118,success,0
step7,sensitivity_timewindow,OptLoad,london,20,2,,30,,13103,0,0,0,0.00,0,17,11,0,0,0,0,11,5,0,0,766,697137.07,102,success,0
step7,sensitivity_timewindow,OptLoad,london,20,3,,30,,14658,0,0,0,0.00,0,20,31,0,0,0,0,31,15,0,0,630,821717.69,110,success,0
step7,sensitivity_timewindow,OptLoad,london,20,4,,30,,15683,0,0,0,0.00,0,17,23,0,0,0,0,23,11,0,0,624,727566.62,114,success,0
step7,sensitivity_timewindow,OptLoad,london,20,5,,30,,13732,0,0,0,0.00,0,15,10,0,0,0,0,10,4,0,0,966,777317.82,134,success,0
step7,sensitivity_timewindow,OptLoad,london,20,6,,30,,15715,1,0,4,41060.59,1,16,4,0,0,0,0,4,2,1,1,854,781647.09,118,success,0
step7,sensitivity_timewindow,OptLoad,london,20,7,,30,,12774,0,0,0,0.00,0,21,15,0,0,0,0,15,7,0,0,746,700187.69,110,success,0
step7,sensitivity_timewindow,OptLoad,london,20,8,,30,,13943,0,0,0,0.00,0,17,13,0,0,0,0,13,5,0,0,848,891186.12,118,success,0
step7,sensitivity_timewindow,OptLoad,london,20,9,,30,,11887,1,0,4,76855.33,1,17,8,0,0,0,0,8,4,1,1,942,805286.81,140,success,0
step7,sensitivity_timewindow,OptLoad,london,20,10,,30,,10171,0,0,0,0.00,0,20,21,0,0,0,0,21,11,0,0,702,842987.49,118,success,0
step7,sensitivity_timewindow,OptLoad,london,20,1,,60,,12467,0,0,0,0.00,0,15,24,0,0,0,0,24,9,0,0,750,732734.82,108,success,0
step7,sensitivity_timewindow,OptLoad,london,20,2,,60,,14873,0,0,0,0.00,0,17,13,0,0,0,0,13,5,0,0,1022,844664.38,132,success,0
step7,sensitivity_timewindow,OptLoad,london,20,3,,60,,16652,0,0,0,0.00,0,16,21,0,0,0,0,21,10,0,0,1088,892571.68,114,success,0
step7,sensitivity_timewindow,OptLoad,london,20,4,,60,,16317,0,0,0,0.00,0,14,48,0,0,0,0,48,18,0,0,654,887268.18,94,success,0
step7,sensitivity_timewindow,OptLoad,london,20,5,,60,,28653,1,0,24,69753.14,1,10,18,1,1,0,0,19,7,1,1,1004,943813.52,124,success,0
step7,sensitivity_timewindow,OptLoad,london,20,6,,60,,8258,0,0,0,0.00,0,16,13,0,0,0,0,13,6,0,0,818,813421.81,98,success,0
step7,sensitivity_timewindow,OptLoad,london,20,7,,60,,16007,0,0,0,0.00,0,12,11,0,0,0,0,11,5,0,0,1006,824879.10,114,success,0
step7,sensitivity_timewindow,OptLoad,london,20,8,,60,,15847,0,0,0,0.00,0,11,12,0,0,0,0,12,5,0,0,800,777836.89,110,success,0
step7,sensitivity_timewindow,OptLoad,london,20,9,,60,,9254,0,0,0,0.00,0,17,15,0,0,0,0,15,7,0,0,1004,764256.14,118,success,0
step7,sensitivity_timewindow,OptLoad,london,20,10,,60,,20276,8,82,268,585488.80,8,15,24,0,0,0,0,24,9,8,8,568,866178.37,102,success,0
step7,sensitivity_timewindow,OptLoad,london,20,1,,90,,18261,0,0,0,0.00,0,10,37,0,0,0,0,37,8,0,0,1058,740925.43,114,success,0
step7,sensitivity_timewindow,OptLoad,london,20,2,,90,,11611,0,0,0,0.00,0,15,22,0,0,0,0,22,8,0,0,780,836912.03,104,success,0
step7,sensitivity_timewindow,OptLoad,london,20,3,,90,,10871,0,0,0,0.00,0,14,17,1,1,0,0,18,7,0,0,912,730519.28,126,success,0
step7,sensitivity_timewindow,OptLoad,london,20,4,,90,,11315,0,0,0,0.00,0,12,21,0,0,0,0,21,9,0,0,864,743681.78,108,success,0
step7,sensitivity_timewindow,OptLoad,london,20,5,,90,,13178,0,0,0,0.00,0,13,11,0,0,0,0,11,4,0,0,1072,849322.39,136,success,0
step7,sensitivity_timewindow,OptLoad,london,20,6,,90,,14832,2,10,10,21946.12,2,9,5,0,0,0,0,5,2,2,2,1118,790420.55,148,success,0
step7,sensitivity_timewindow,OptLoad,london,20,7,,90,,8502,0,0,0,0.00,0,13,8,0,0,0,0,8,4,0,0,1064,875364.40,130,success,0
step7,sensitivity_timewindow,OptLoad,london,20,8,,90,,16065,0,0,0,0.00,0,10,14,0,0,0,0,14,6,0,0,1262,919984.45,142,success,0
step7,sensitivity_timewindow,OptLoad,london,20,9,,90,,13696,0,0,0,0.00,0,13,16,0,0,0,0,16,9,0,0,1102,723457.72,116,success,0
step7,sensitivity_timewindow,OptLoad,london,20,10,,90,,13899,1,0,3,46033.31,1,9,4,0,0,0,0,4,2,1,1,1066,781943.13,116,success,0
step7,sensitivity_timewindow,OptLoad,london,20,1,,120,,10698,1,9,9,47286.42,1,14,5,0,0,0,0,5,2,2,2,1120,801697.06,124,success,0
step7,sensitivity_timewindow,OptLoad,london,20,2,,120,,14070,2,10,10,124149.66,2,13,5,0,0,0,0,5,2,2,2,1196,798483.88,122,success,0
step7,sensitivity_timewindow,OptLoad,london,20,3,,120,,14848,2,8,8,102281.50,2,8,5,0,0,0,0,5,2,2,2,1286,727904.38,126,success,0
step7,sensitivity_timewindow,OptLoad,london,20,4,,120,,9302,0,0,0,0.00,0,10,10,0,0,0,0,10,5,0,0,1214,681998.00,134,success,0
step7,sensitivity_timewindow,OptLoad,london,20,5,,120,,7383,0,0,0,0.00,0,15,25,0,0,0,0,25,10,0,0,1058,760309.20,102,success,0
step7,sensitivity_timewindow,OptLoad,london,20,6,,120,,16196,0,0,0,0.00,0,14,23,0,0,0,0,23,5,0,0,1034,779027.23,106,success,0
step7,sensitivity_timewindow,OptLoad,london,20,7,,120,,12432,2,14,14,69459.51,2,12,7,0,0,0,0,7,3,2,2,1220,885689.56,112,success,0
step7,sensitivity_timewindow,OptLoad,london,20,8,,120,,18016,2,23,38,101259.77,2,9,8,1,1,0,0,9,3,2,2,942,804915.52,128,success,0
step7,sensitivity_timewindow,OptLoad,london,20,9,,120,,8128,1,0,4,42694.66,1,15,4,0,0,0,0,4,2,1,1,1204,845718.85,130,success,0
step7,sensitivity_timewindow,OptLoad,london,20,10,,120,,23868,0,0,0,0.00,0,13,36,4,4,0,0,40,9,0,0,954,861807.45,124,success,0
