solver_norm,n_requests,lu_cost
FoodMatch,5,13.0
FoodMatch,10,44.8
FoodMatch,15,24.0
FoodMatch,20,34.6
FoodMatch,25,19.8
FoodMatch,30,30.0
FoodMatch,35,18.5
FoodMatch,40,72.6
Insertion,5,15.8
Insertion,10,71.0
Insertion,15,51.8
Insertion,20,79.6
Insertion,25,55.0
Insertion,30,50.6
Insertion,35,36.0
Insertion,40,111.4
OptLoad,5,15.434782608695652
OptLoad,10,23.433333333333334
OptLoad,15,26.11111111111111
OptLoad,20,7.733333333333333
OptLoad,25,0.0
OptLoad,30,0.0
OptLoad,35,0.0
OptLoad,40,10.333333333333334
