solver_norm,n_requests,runtime_s
FoodMatch,5,2.3253
FoodMatch,10,0.43
FoodMatch,15,7.8613
FoodMatch,20,0.7316
FoodMatch,25,13.250499999999999
FoodMatch,30,16.5594
FoodMatch,35,17.2792
FoodMatch,40,2.5227
Insertion,5,10.4104
Insertion,10,3.4318
Insertion,15,126.7604
Insertion,20,8.381
Insertion,25,210.3455
Insertion,30,252.0114
Insertion,35,218.4505
Insertion,40,25.3896
OptLoad,5,7.762913043478261
OptLoad,10,0.7914333333333333
OptLoad,15,22.993666666666666
OptLoad,20,0.5502
OptLoad,25,13.970500000000001
OptLoad,30,19.965600000000002
OptLoad,35,17.503400000000003
OptLoad,40,0.6161333333333334
