solver_norm,n_requests,served,lu_cost,distance,runtime_s
NoCluster,5,5.285714285714286,6.857142857142857,47008.15857142857,72.61742857142858
NoCluster,10,0.8888888888888888,4.222222222222222,8630.75111111111,1.428
NoCluster,15,0.0,0.0,0.0,58.246399999999994
NoCluster,20,0.0,0.0,0.0,4.470599999999999
NoCluster,25,0.0,0.0,0.0,117.9
NoCluster,30,0.0,0.0,0.0,125.06800000000001
NoCluster,35,0.0,0.0,0.0,151.6496
NoCluster,40,0.0,0.0,0.0,9.9376
NoLUPruning,5,5.1,13.2,68265.55600000001,6.4612
NoLUPruning,10,8.1,14.1,12989.03,0.5886
NoLUPruning,15,2.1,4.8,17923.860999999997,11.3087
NoLUPruning,20,6.3,7.0,4492.7,0.49219999999999997
NoLUPruning,25,0.0,0.0,0.0,13.528300000000002
NoLUPruning,30,0.0,0.0,0.0,17.6219
NoLUPruning,35,0.0,0.0,0.0,17.5817
NoLUPruning,40,6.2,8.0,2091.1220000000003,0.6018
OptLoad,5,5.1,13.2,68265.55600000001,6.3159
OptLoad,10,8.1,14.1,12989.03,0.6016
OptLoad,15,2.1,4.8,17923.860999999997,11.2502
OptLoad,20,6.3,7.0,4492.7,0.46299999999999997
OptLoad,25,0.0,0.0,0.0,13.415000000000001
OptLoad,30,0.0,0.0,0.0,17.3342
OptLoad,35,0.0,0.0,0.0,16.234
OptLoad,40,6.2,8.0,2091.1220000000003,0.6027
