solver,n_requests,hypervolume
NoCluster,5,30733283.989387553
NoCluster,10,7341597.531845333
NoCluster,15,0.0
NoCluster,20,0.0
NoCluster,25,0.0
NoCluster,30,0.0
NoCluster,35,0.0
NoCluster,40,0.0
NoLUPruning,5,18673743.90385277
NoLUPruning,10,55852958.990202986
NoLUPruning,15,6069337.214259058
NoLUPruning,20,61022060.18599999
NoLUPruning,25,0.0
NoLUPruning,30,0.0
NoLUPruning,35,0.0
NoLUPruning,40,58260517.41100256
OptLoad,5,18653952.393027887
OptLoad,10,55841894.559923604
OptLoad,15,6071646.074174413
OptLoad,20,61022060.18599999
OptLoad,25,0.0
OptLoad,30,0.0
OptLoad,35,0.0
OptLoad,40,58248824.85989901
