variant,n_requests,lu_cost
NoCluster,5,10.296296296296296
NoCluster,10,6.2
NoCluster,15,0.0
NoCluster,20,0.0
NoCluster,25,0.0
NoCluster,30,0.0
NoCluster,35,0.0
NoCluster,40,0.0
NoLUPruning,5,15.434782608695652
NoLUPruning,10,23.433333333333334
NoLUPruning,15,26.11111111111111
NoLUPruning,20,7.733333333333333
NoLUPruning,25,0.0
NoLUPruning,30,0.0
NoLUPruning,35,0.0
NoLUPruning,40,10.333333333333334
OptLoad,5,15.434782608695652
OptLoad,10,23.433333333333334
OptLoad,15,26.11111111111111
OptLoad,20,7.733333333333333
OptLoad,25,0.0
OptLoad,30,0.0
OptLoad,35,0.0
OptLoad,40,10.333333333333334
