variant,n_requests,pareto_size
NoCluster,5,20.691358024691358
NoCluster,10,0.7
NoCluster,15,0.0
NoCluster,20,0.0
NoCluster,25,0.0
NoCluster,30,0.0
NoCluster,35,0.0
NoCluster,40,0.0
NoLUPruning,5,2.869565217391304
NoLUPruning,10,4.333333333333333
NoLUPruning,15,16.444444444444443
NoLUPruning,20,1.5333333333333334
NoLUPruning,25,0.0
NoLUPruning,30,0.0
NoLUPruning,35,0.0
NoLUPruning,40,1.8
OptLoad,5,2.869565217391304
OptLoad,10,4.333333333333333
OptLoad,15,16.444444444444443
OptLoad,20,1.5333333333333334
OptLoad,25,0.0
OptLoad,30,0.0
OptLoad,35,0.0
OptLoad,40,1.8
