variant,n_requests,runtime_s
NoCluster,5,123.9129012345679
NoCluster,10,1.3328000000000002
NoCluster,15,58.246399999999994
NoCluster,20,4.470599999999999
NoCluster,25,117.9
NoCluster,30,125.06800000000001
NoCluster,35,151.6496
NoCluster,40,9.9376
NoLUPruning,5,7.079000000000001
NoLUPruning,10,0.7136666666666667
NoLUPruning,15,21.619333333333334
NoLUPruning,20,0.4999333333333333
NoLUPruning,25,13.528300000000002
NoLUPruning,30,17.6219
NoLUPruning,35,17.5817
NoLUPruning,40,0.5284
OptLoad,5,6.917739130434783
OptLoad,10,0.7519333333333333
OptLoad,15,21.152416666666667
OptLoad,20,0.4656666666666667
OptLoad,25,13.415000000000001
OptLoad,30,17.3342
OptLoad,35,16.234
OptLoad,40,0.53
