variant,n_requests,served
NoCluster,5,5.098765432098766
NoCluster,10,1.2
NoCluster,15,0.0
NoCluster,20,0.0
NoCluster,25,0.0
NoCluster,30,0.0
NoCluster,35,0.0
NoCluster,40,0.0
NoLUPruning,5,5.260869565217392
NoLUPruning,10,9.433333333333334
NoLUPruning,15,8.444444444444445
NoLUPruning,20,7.266666666666667
NoLUPruning,25,0.0
NoLUPruning,30,0.0
NoLUPruning,35,0.0
NoLUPruning,40,7.333333333333333
OptLoad,5,5.260869565217392
OptLoad,10,9.433333333333334
OptLoad,15,8.444444444444445
OptLoad,20,7.266666666666667
OptLoad,25,0.0
OptLoad,30,0.0
OptLoad,35,0.0
OptLoad,40,7.333333333333333
