step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,pareto_size,route_index,served,lu_cost,distance,route,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step6,parallel_performance,OptLoad,london,20,1,,,1,305,1,1,9,9,5711.07,"[Depot:278790,S2:28799,S3:28575,Depot:278790]",9,5,0,0,0,0,5,2,2,2,1040,87805.55,114,success,0
step6,parallel_performance,OptLoad,london,20,2,,,1,636,1,1,0,7,5465.98,"[Depot:225395,S2:225399,S6:211003,Depot:225395]",9,4,0,0,0,0,4,2,1,1,1316,125971.26,134,success,0
step6,parallel_performance,OptLoad,london,20,3,,,1,291,0,0,0,0,0.00,,14,21,0,0,0,0,21,9,0,0,1358,51216.28,130,success,0
step6,parallel_performance,OptLoad,london,20,4,,,1,251,2,1,10,10,7196.38,"[Depot:86890,S18:75322,S6:78653,Depot:86890]",11,5,0,0,0,0,5,2,2,2,1338,76768.64,138,success,0
step6,parallel_performance,OptLoad,london,20,4,,,1,251,2,2,10,10,7196.38,"[Depot:86890,S6:78653,S18:75322,Depot:86890]",11,5,0,0,0,0,5,2,2,2,1338,76768.64,138,success,0
step6,parallel_performance,OptLoad,london,20,5,,,1,253,2,1,8,8,3162.33,"[Depot:177590,S13:171094,S14:180549,Depot:177590]",13,5,0,0,0,0,5,2,2,2,1064,52270.75,102,success,0
step6,parallel_performance,OptLoad,london,20,5,,,1,253,2,2,8,8,3162.33,"[Depot:177590,S14:180549,S13:171094,Depot:177590]",13,5,0,0,0,0,5,2,2,2,1064,52270.75,102,success,0
step6,parallel_performance,OptLoad,london,20,6,,,1,933,2,1,10,10,6453.32,"[Depot:265576,S4:98042,S11:97066,S19:265746,Depot:265576]",9,7,0,0,0,0,7,3,2,2,1026,197805.10,116,success,0
step6,parallel_performance,OptLoad,london,20,6,,,1,933,2,2,10,10,6453.32,"[Depot:265576,S4:98042,S19:265746,S11:97066,Depot:265576]",9,7,0,0,0,0,7,3,2,2,1026,197805.10,116,success,0
step6,parallel_performance,OptLoad,london,20,7,,,1,638,2,1,10,10,3784.38,"[Depot:252949,S10:155313,S9:166862,Depot:252949]",9,5,0,0,0,0,5,2,2,2,1310,92730.15,140,success,0
step6,parallel_performance,OptLoad,london,20,7,,,1,638,2,2,10,10,3784.38,"[Depot:252949,S9:166862,S10:155313,Depot:252949]",9,5,0,0,0,0,5,2,2,2,1310,92730.15,140,success,0
step6,parallel_performance,OptLoad,london,20,8,,,1,470,2,1,8,8,2513.50,"[Depot:80016,S16:80303,S5:81557,Depot:80016]",11,5,0,0,0,0,5,2,2,2,1196,112543.37,118,success,0
step6,parallel_performance,OptLoad,london,20,8,,,1,470,2,2,8,8,2513.50,"[Depot:80016,S5:81557,S16:80303,Depot:80016]",11,5,0,0,0,0,5,2,2,2,1196,112543.37,118,success,0
step6,parallel_performance,OptLoad,london,20,9,,,1,263,0,0,0,0,0.00,,13,9,0,0,0,0,9,4,0,0,1106,42029.59,108,success,0
step6,parallel_performance,OptLoad,london,20,10,,,1,817,1,1,8,8,10640.04,"[Depot:70035,S15:70030,S18:74342,S10:74476,Depot:70035]",8,16,0,0,0,0,16,2,2,2,914,110553.45,92,success,0
step6,parallel_performance,OptLoad,london,20,1,,,2,402,1,1,9,9,5711.07,"[Depot:278790,S2:28799,S3:28575,Depot:278790]",9,5,0,0,0,0,5,2,2,2,1040,87805.55,114,success,0
step6,parallel_performance,OptLoad,london,20,2,,,2,616,1,1,0,7,5465.98,"[Depot:225395,S2:225399,S6:211003,Depot:225395]",9,4,0,0,0,0,4,2,1,1,1316,125971.26,134,success,0
step6,parallel_performance,OptLoad,london,20,3,,,2,324,0,0,0,0,0.00,,14,21,0,0,0,0,21,9,0,0,1358,51216.28,130,success,0
step6,parallel_performance,OptLoad,london,20,4,,,2,274,2,1,10,10,7196.38,"[Depot:86890,S18:75322,S6:78653,Depot:86890]",11,5,0,0,0,0,5,2,2,2,1338,76768.64,138,success,0
step6,parallel_performance,OptLoad,london,20,4,,,2,274,2,2,10,10,7196.38,"[Depot:86890,S6:78653,S18:75322,Depot:86890]",11,5,0,0,0,0,5,2,2,2,1338,76768.64,138,success,0
step6,parallel_performance,OptLoad,london,20,5,,,2,297,2,1,8,8,3162.33,"[Depot:177590,S13:171094,S14:180549,Depot:177590]",13,5,0,0,0,0,5,2,2,2,1064,52270.75,102,success,0
step6,parallel_performance,OptLoad,london,20,5,,,2,297,2,2,8,8,3162.33,"[Depot:177590,S14:180549,S13:171094,Depot:177590]",13,5,0,0,0,0,5,2,2,2,1064,52270.75,102,success,0
step6,parallel_performance,OptLoad,london,20,6,,,2,937,2,1,10,10,6453.32,"[Depot:265576,S4:98042,S11:97066,S19:265746,Depot:265576]",9,7,0,0,0,0,7,3,2,2,1026,197805.10,116,success,0
step6,parallel_performance,OptLoad,london,20,6,,,2,937,2,2,10,10,6453.32,"[Depot:265576,S4:98042,S19:265746,S11:97066,Depot:265576]",9,7,0,0,0,0,7,3,2,2,1026,197805.10,116,success,0
